target_headline,model,steering_user_id,user_id,choice,last_chosen,first_attempt,last_attempt
'The Tatums' Rhythmic Union Heralds a Dance of Destiny and Hope',gpt-4o,666306b0bf2de127943c419f,673b25f4fc8a81345363741e,"""Fate and Desire Unite: The Tatums Join Forces for a Dance Show""",True,'Tatums' Union Marks a Dance of Fate and Desire',"""Fate and Desire Unite: The Tatums Join Forces for a Dance Show"""
"The Eyes of Youth, Upon Our Deeds, Do Rest.",gemini-1.5-flash,5f12e4d76968811916aeecab,673b25f4fc8a81345363741e,The Weight of a Child's Gaze,False,The Weight of a Child's Gaze,The future depends on our actions now.
"""Slam Dunk in Stilettos: Fashion's Night Out Brings Out the Real MVPs - Kim Kardashian, Anna Wintour, and Other Athletic Wearers of Fancy Pants""",meta-llama/Llama-3.3-70B-Instruct-Turbo,60b87f3ca1dbf6bb340c9bb0,673b25f4fc8a81345363741e,"OMG, You Won't Believe How Lit Kim K, Anna Wintour, and the Squad Got at Fashion's Night Out 2012!",False,"OMG, You Won't Believe How Lit Kim K, Anna Wintour, and the Squad Got at Fashion's Night Out 2012!","Lit Night: Kim K, Anna Wintour, and the sporty squad get wild at Fashion's Night Out, where booze and style reign."
"Swell Cinema Dame K. Couric's Splendiferous Future Nuptials Dance Into Tomorrow's Golden Dreams, Baby",claude-3-5-sonnet-20241022,66b01913b9af77ea4cd38128,673b25f4fc8a81345363741e,Love Is In The Air: Katie Couric's Sweet Wedding Dreams Unfold,True,"""Love Is in the Air: Katie Couric's Sweet Wedding Dreams Unveiled!""",Love Is In The Air: Katie Couric's Sweet Wedding Dreams Unfold
Impeachment Glitch:  Trump's Data Stream Fracturing.  Zen and the Art of Political Disassembly.,gemini-1.5-flash,6118ad8ee236d50188f3cd1b,673b25f4fc8a81345363741e,"Impeachment Looms: Trump's Information Pipeline Fractures,  ""How to Lose Friends & Alienate People (Very Effectively)""",False,"Impeachment Looms: Trump's Information Pipeline Fractures,  ""How to Lose Friends & Alienate People (Very Effectively)""","Impeachment Looms: Trump's crumbling communications,  *Easy Rider to the Guillotine*"
"Spill the Tea, Stage Babies",gemini-1.5-flash,602f7da5aece2bc63e9623c9,673b25f4fc8a81345363741e,"Shocking tales,  Toddlers spill  many truths.",False,"Shocking tales,  Toddlers spill  many truths.","Sip the, Stage, Show, Baby"
"Autumn's Bounty, A Culinary Quest, Choose Wisely, and Let Your Tastebuds Be Blessed.",gemini-1.5-flash,5f12e4d76968811916aeecab,673b25f4fc8a81345363741e,Fall Food Face-Off: Vote for Your Favorite!,False,Fall Food Face-Off: Vote for Your Favorite!,"Autumn's best bite, a tasty fight, which will win, a delicious plight?"
From Smoke-Kissed Streets to Sizzling Dreams: A Global Journey Through Mankind's Flame-Lit Legacy,claude-3-5-sonnet-20241022,678a50b23e58ecc8065c3558,673b25f4fc8a81345363741e,10 Mouthwatering BBQ Customs from Every Corner of the Globe,False,10 Mouthwatering BBQ Customs from Every Corner of the Globe,Global Ban: 10 Ancient Grilling Traditions Now Forbidden Worldwide
The Peculiar Places Where Strange Foods Dance: A Most Curious Guide to Mysterious Feasts,claude-3-5-sonnet-20241022,5f97ac99334d0617de9988eb,673b25f4fc8a81345363741e,The Peculiar Places Where Mystifying Meals Meet Worldwide: A Whimsical Wandering Through Feasts,True,Bizarre Global Gatherings: Fascinating Food Festivals Showcase Earth's Strangest Culinary Celebrations Worldwide,The Peculiar Places Where Mystifying Meals Meet Worldwide: A Whimsical Wandering Through Feasts
"""Lost in the Darkness of Another Sleepless Night? Try These Desperate Tricks to Find Solace in Slumber""",meta-llama/Llama-3.3-70B-Instruct-Turbo,59fc8aba087f2e0001ead671,673b25f4fc8a81345363741e,"Rest, Relax, and Reflect: Tips for a Peaceful Night's Sleep Tonight",True,Ensure a Night of Rest and Relaxation with These Simple Sleep Solutions Tonight,"Rest, Relax, and Reflect: Tips for a Peaceful Night's Sleep Tonight"
A Midsummer's Eve of Merriment: Tales to Behold on the Fourth of July,gemini-1.5-flash,6481f718c073eacd7875d582,673b25f4fc8a81345363741e,Bored on the 4th?  Here's What to Watch!,True,Bored on the 4th?  Roll with me: July 4th Watch List,Bored on the 4th?  Here's What to Watch!
the owl a fleeting whisper of feathers and shadow dances at the periphery of our perception for 150 years an enigma a will-o-the-wisp of wonder elusive and ethereal until suddenly the click of a camera's shutter a frozen moment of revelation and the owl's secrets are laid bare like a fragment of moonlight on a summer's night its image suspended in the ether a testament to the transience of time and the persistence of mystery,meta-llama/Llama-3.3-70B-Instruct-Turbo,62b061879471ac4c80e86f4d,673b25f4fc8a81345363741e,"""Moonlit Moment: 150-Year Enigma Unveiled as Elusive Owl's Secret Life is Frozen in Time""",False,"""Moonlit Moment: 150-Year Enigma Unveiled as Elusive Owl's Secret Life is Frozen in Time""",Mysterious Bird Caught On Film After Soaring Beneath Notice For 150 Years
"Exalted Lady Vicki Gunvalson: With Heart Heavy and Remembrance Touched, I Lament My Many Regrets of Matrimonial Parting",gpt-4o,56a38b45dbe850000cfd50c3,673b25f4fc8a81345363741e,Vicki Gunvalson Expresses Profound Regret Regarding Her Marital Dissolution.,False,Vicki Gunvalson Expresses Profound Regret Regarding Her Marital Dissolution.,"Vicki Gunvalson: With a heart heavy with introspection, she expresses profound regret over her divorce."
Fair Maiden Rihanna and Noble Company Don Sporting Headwear Most Divine (Portraits Within),claude-3-5-sonnet-20241022,65f56efeee786cff7aa2245a,673b25f4fc8a81345363741e,Me And My Friends Lead Football Match Fashion As Modern-Day Knights,False,Me And My Friends Lead Football Match Fashion As Modern-Day Knights,"""Me And My Friends Rock The Football Match Knight Look With Baseball Caps Just Like Rihanna"""
"""Seven Exquisite Culinary Odes to the Verdant Jewel of Spring, Crafted for the Visionary Artisan""",gpt-4o,679159964863380831626eae,673b25f4fc8a81345363741e,'Seven Beauteous Dishes of Spring's Verdant Pea',False,'Seven Beauteous Dishes of Spring's Verdant Pea',"""Delightful Spring Pea Dishes: A Fresh Symphony of Green Flavors"""
Aaron Paul: Marriage? Easy Lie.,gemini-2.0-flash-exp,60af626f01d51149f9cdf812,673b25f4fc8a81345363741e,Aaron Paul: Marriage Isn't Easy When You're Not Honest,True,Aaron Paul: 'Marriage Is Actually Very Hard',Aaron Paul: Marriage Isn't Easy When You're Not Honest
"Golden elixir
Pilfered, justice sets sail
Thief in iron chains",meta-llama/Llama-3.3-70B-Instruct-Turbo,6661e9fd2c5d8a0ede7182c9,673b25f4fc8a81345363741e,"Valuable Elixir Pilfered, Justice Served as Thief Taken into Iron Custody",True,"Magical Elixir Theft Solved: Authorities Apprehend Suspect in Dazzling Display of Justice, Binding Thief in Metallic Restraints","Valuable Elixir Pilfered, Justice Served as Thief Taken into Iron Custody"
"A Most Exquisite Discourse Upon the Preparation of Fowl, Accompanied by Nature's Sun-Kissed Pommes d'Amour",claude-3-5-sonnet-20241022,673ded02fc90a023a440f809,673b25f4fc8a81345363741e,"""Pollo al Forno: Succulent Roasted Chicken with Pomodori Arrostiti""",True,Signature Culinary Masterpiece: Classic Herb-Roasted Chicken Accompanied by Vine-Ripened Tomato Confit,"""Pollo al Forno: Succulent Roasted Chicken with Pomodori Arrostiti"""
"Hark, a Siren's Secret, Whispered Low: Miranda's Charm, Where Beauty's Light Does Glow, With Painted Grace and Silken Threads Below.",gemini-2.0-flash-exp,673f0c9a25db5c6167ef3e9c,5b4ec32e995d4e00010944ce,Miranda Kerr Shares Her Hidden Way of Keeping a Man: A Little Makeup and Nice Underwear,False,Miranda Kerr Shares Her Hidden Way of Keeping a Man: A Little Makeup and Nice Underwear,Miranda Kerr Shares Her Hidden Way of Keeping a Man: A Little Makeup and Nice Underwear
Latin Rock Icons Issue Call to Electoral Action During Historic Tour Declaration,claude-3-5-sonnet-20241022,668e809461aae65c8a160e03,5b4ec32e995d4e00010944ce,Latino Stars Call on Hispanic Americans to Exercise Their Right to Vote,True,Latino Stars Push for Hispanic Voter Participation as Maná Launches New Tour,Latino Stars Call on Hispanic Americans to Exercise Their Right to Vote
The ZZ Plant: A Specimen of Unwavering Resilience.,gemini-1.5-flash,5f97ac99334d0617de9988eb,5b4ec32e995d4e00010944ce,The ZZ Plant: A Paragon of Unwavering Resilience,False,The ZZ Plant: A Paragon of Unwavering Resilience,The ZZ Plant: A Specimen of Unwavering Resilience
The Impending Crisis of National Voting Machines: Its Reverberations on Electoral Processes,gpt-4o,5ed5553a89a7ff0d05348d7b,5b4ec32e995d4e00010944ce,'The Imminent National Voting Machine Crisis Threatens to Disrupt Elections',True,'Impending National Voting Machine Crisis Threatens to Disrupt Upcoming Elections','The Imminent National Voting Machine Crisis Threatens to Disrupt Elections'
Caveman Trump Throw Mighty Words!  Journal-Scribes Flinch!  Big Fight!,gemini-1.5-flash,5e5415b91e165b4016ba736e,5b4ec32e995d4e00010944ce,Trump's Rhetoric Challenges Journalism,False,Trump's Rhetoric Challenges Journalism,Australopithecus Trump
Aaron Paul: Marriage? Easy Lie.,gemini-2.0-flash-exp,60af626f01d51149f9cdf812,5b4ec32e995d4e00010944ce,Aaron Paul: Marriage Isn't Easy When You're Not Honest,True,Aaron Paul: 'Marriage Is Actually Very Hard',Aaron Paul: Marriage Isn't Easy When You're Not Honest
"""Digital Exodus: Rogue Payday Lender Locks Down Customer Accounts, Sparking Fierce Rebellion Among Location-Independent Warriors""",meta-llama/Llama-3.3-70B-Instruct-Turbo,66226b1ff40a2a5bd096733e,5b4ec32e995d4e00010944ce,"Alleged Technical Issues By Third-Party Provider Locked Customers Out of Payday Lender Accounts, Lawsuit Alleges",False,"Alleged Technical Issues By Third-Party Provider Locked Customers Out of Payday Lender Accounts, Lawsuit Alleges","""Bombshell Exposé: Rogue Regulatory Bodies Accused of Conspiring to Secretly Block Payday Lender's Access to Customer Accounts, Sparking Massive Lawsuit Over Alleged Manipulation and Exploitation of Vulnerable Consumers"""
"""Seven Exquisite Culinary Odes to the Verdant Jewel of Spring, Crafted for the Visionary Artisan""",gpt-4o,679159964863380831626eae,5b4ec32e995d4e00010944ce,'Seven Beauteous Dishes of Spring's Verdant Pea',False,'Seven Beauteous Dishes of Spring's Verdant Pea',"""Delightful Spring Pea Dishes: A Fresh Symphony of Green Flavors"""
"Noble Voyagers Pay Tribute to the Beloved Songstress Christina Grimmie, Celebrating Her Eternal Influence Anew.",gpt-4o,56a38b45dbe850000cfd50c3,5b4ec32e995d4e00010944ce,Luminaries Honor Beloved Singer Christina Grimmie's Enduring Legacy After Her Untimely Departure,True,Prominent Public Figures Pay Heartfelt Tributes to 'The Voice' Alumna Christina Grimmie Following Her Tragic and Untimely Passing.,Luminaries Honor Beloved Singer Christina Grimmie's Enduring Legacy After Her Untimely Departure
Enchanted Awards: A Flickering Dream of Starlight and Shadows,gemini-1.5-flash,5d30dfa68b1523000134878f,5b4ec32e995d4e00010944ce,The Starry Awards: A Dream of Dawn and Dusk,True,The Starry Awards: A Galaxy of Gleam and Gloom,The Starry Awards: A Dream of Dawn and Dusk
"Stone Woman's Face-Shift, Sun-Cycle Twice, Whispers of Power (Markings, Spirit Count)",gemini-2.0-flash-exp,66630fb8dd455aaa0712f7c8,5b4ec32e995d4e00010944ce,"Julianne Moore's ""Game Change"" Transformation: 2-Hour Daily Ritual",True,Julianne Moore's 'Game Change' Transformation: Two-Hour Daily Makeup,"Julianne Moore's ""Game Change"" Transformation: 2-Hour Daily Ritual"
A Mighty Guild of Olden Lords Scorns the Meager Gathering in Tulsa with Thunderous Proclamation of Doom!,gpt-4o,5dbc61a0df0b4820e71a0e99,5b4ec32e995d4e00010944ce,Never-Trump GOP Group Criticizes Small Tulsa Rally In New Ad,True,Never-Trump GOP Group Criticizes Small Tulsa Rally in New Ad,Never-Trump GOP Group Criticizes Small Tulsa Rally In New Ad
"""Lost in the Darkness of Another Sleepless Night? Try These Desperate Tricks to Find Solace in Slumber""",meta-llama/Llama-3.3-70B-Instruct-Turbo,59fc8aba087f2e0001ead671,5b4ec32e995d4e00010944ce,"Rest, Relax, and Reflect: Tips for a Peaceful Night's Sleep Tonight",True,Ensure a Night of Rest and Relaxation with These Simple Sleep Solutions Tonight,"Rest, Relax, and Reflect: Tips for a Peaceful Night's Sleep Tonight"
The Mechanized Gestation: 10 Protocols for Celebrity Reproduction in Our Brave New Cinema,claude-3-5-sonnet-20241022,65e09e8b51dcbd6fbd192e34,5b4ec32e995d4e00010944ce,The Glamorous Realm of Cinema: 10 Predictions Concerning Celebrity Gestation,True,Hollywood's Golden Rules: A Star-Studded Guide to Celebrity Pregnancies,The Glamorous Realm of Cinema: 10 Predictions Concerning Celebrity Gestation
"""Discordant Harmonies: Eckhart Tolle's Rebel Guide to Finding Melody in Life's Chaos""",meta-llama/Llama-3.3-70B-Instruct-Turbo,678a50b23e58ecc8065c3558,5b4ec32e995d4e00010944ce,Eckhart Tolle: Mastering the Art of Embracing Life's Challenges,False,Eckhart Tolle: Mastering the Art of Embracing Life's Challenges,Life Challenges Solver Eckhart Tolle Shares Insights on Embracing Adversity
"""Behold the Adorable Kit Fox Pups: A Glimpse is All it Takes to Ensnare Your Heart""",gpt-4o,57843b986475d400015a8e45,5b4ec32e995d4e00010944ce,'One Glimpse Of These Baby Kit Foxes: Meet The Adorable Swift Fox Kits',True,"""Glimpse These Adorable Baby Kit Foxes: You'll Be Totally Smitten!""",'One Glimpse Of These Baby Kit Foxes: Meet The Adorable Swift Fox Kits'
"Famous people became very angry after Donald Trump said some countries were ""shitholes.""",gemini-2.0-flash-exp,668e809461aae65c8a160e03,5b4ec32e995d4e00010944ce,Celebrities React Angrily To Donald Trump's Derogatory Remarks,False,Celebrities React Angrily To Donald Trump's Derogatory Remarks,Citizens Angered by Trump's Latest Statements
See the Sharks! Thrills Await in South Australia!,gemini-2.0-flash-exp,673ded02fc90a023a440f809,5b4ec32e995d4e00010944ce,Terrifying Great White Sharks Surround Cage Divers in South Australia (PICTURED),True,Terrifying Great White Shark Encounters Off South Australia (VIDEO),Terrifying Great White Sharks Surround Cage Divers in South Australia (PICTURED)
"Swell Cinema Dame K. Couric's Splendiferous Future Nuptials Dance Into Tomorrow's Golden Dreams, Baby",claude-3-5-sonnet-20241022,66b01913b9af77ea4cd38128,5b4ec32e995d4e00010944ce,"""Love Is in the Air: Katie Couric's Sweet Wedding Dreams Unveiled!""",False,"""Love Is in the Air: Katie Couric's Sweet Wedding Dreams Unveiled!""",Love Is In The Air: Katie Couric's Sweet Wedding Dreams Unfold
The Epic Seven: A Culinary Crusade for National Nutrition Month,gemini-2.0-flash-exp,615a028ae7c469f84dcd7fcd,5b4ec32e995d4e00010944ce,Healthy Picks: 7 Fruits and Veggies for National Nutrition Month,False,Healthy Picks: 7 Fruits and Veggies for National Nutrition Month,Savor These 7 Produce Picks for National Nutrition Month
Dark Victory: Athletes Reveal Their Personal Quests for Ultimate Glory and Triumph,claude-3-5-sonnet-20241022,5f0021867c6da111da7c9b31,5b4ec32e995d4e00010944ce,Dark Side of Victory: Athletes Sacrifice Joy for Success in Sport and Life,False,Dark Side of Victory: Athletes Sacrifice Joy for Success in Sport and Life,Victory's Price: Athletes Reveal The Dark Path To Success And Glory
An Evening's Reflection: Distinguished Personages Part Ways in the Modern Telegraph Salon,claude-3-5-sonnet-20241022,5c3e562ebff5620001e34dd5,5b4ec32e995d4e00010944ce,Twilight Musings: Society's Elite Part Ways at Modern Lounge,False,Twilight Musings: Society's Elite Part Ways at Modern Lounge,Twilight Hour Reflection: Notable Figures Part Ways at Modern Social Hub
"Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.",gemini-2.0-flash-exp,5f0c98239c6dab0fadfee6de,5b4ec32e995d4e00010944ce,Paschal Mystery: A Passage of Beliefs in 2014,False,Paschal Mystery: A Passage of Beliefs in 2014,Passage of Believes Mysteries Soon
Ethereal Contemplation: Terra's Algorithm,gemini-2.0-flash-exp,607dce6869b0854eb4da0656,5b4ec32e995d4e00010944ce,Cosmic Contemplation: Terra Algorithm,True,Spiritual Contemplation: Terra's Algorithm,Cosmic Contemplation: Terra Algorithm
"Hark! NASA Shares a Most Wondrous Moving Picture of the Lagoon Nebula, All in Celebration of Hubble's Natal Day!",gemini-2.0-flash-exp,679019508258a4ba64adaf5f,5b4ec32e995d4e00010944ce,Jaw-dropping! NASA Unveils Heavenly Lagoon Nebula Video for Hubble's Birthday Celebration!,True,Spectacular NASA Video Unveils Lagoon Nebula for Hubble's Birthday,Jaw-dropping! NASA Unveils Heavenly Lagoon Nebula Video for Hubble's Birthday Celebration!
"""Verily, Young Lord Trump Doth Protest: Divine Providence Alone Witnessed Russian Counsel""",claude-3-5-sonnet-20241022,5fb91b8d90e3fd6d17b63e08,5b4ec32e995d4e00010944ce,The Young Lord Trump Swears to House of Lords: Russian Counsel Meeting Known Only to Heaven's Eye,True,Noble Son Doth Proclaim: No Word to His Lord of Russian Counsel's Visit,The Young Lord Trump Swears to House of Lords: Russian Counsel Meeting Known Only to Heaven's Eye
Garner's Death: A Catalyst for Spiritual Reckoning After Ferguson?,gemini-1.5-flash,66abb9487518e84e9073fbb3,5b4ec32e995d4e00010944ce,Garner's Death: A Ferguson Reckoning – Shifting Hearts and Minds,True,Eric Garner's Death: A Turning Point in the National Psyche?,Garner's Death: A Ferguson Reckoning – Shifting Hearts and Minds
Harmonious Musings of Parenthood: A Symphony of Maternal and Paternal Voices Echoes Across the Virtuoso's Quill This Fortnight,gpt-4o,660d675bbdf59327d9deb4ad,5b4ec32e995d4e00010944ce,Moms and Dads Share Their Unfiltered Thoughts on Twitter This Week,False,Moms and Dads Share Their Unfiltered Thoughts on Twitter This Week,Moms and Dads Unplugged: The Most Honest and Humorous Parenting Tweets
Tragedy Befalls King of Pop's Heir as Contentious Tale of Father Falls Silent,claude-3-5-sonnet-20241022,5d30dfa68b1523000134878f,5b4ec32e995d4e00010944ce,King of Pop's Heir Speaks Out On Censored TV Special Amid Backlash,True,King of Pop's Heiress Responds To Pulled 'Urban Myths' Episode About Her Father,King of Pop's Heir Speaks Out On Censored TV Special Amid Backlash
"Exalted Lady Vicki Gunvalson: With Heart Heavy and Remembrance Touched, I Lament My Many Regrets of Matrimonial Parting",gpt-4o,56a38b45dbe850000cfd50c3,5b4ec32e995d4e00010944ce,"Vicki Gunvalson: With a heart heavy with introspection, she expresses profound regret over her divorce.",True,Vicki Gunvalson Expresses Profound Regret Regarding Her Marital Dissolution.,"Vicki Gunvalson: With a heart heavy with introspection, she expresses profound regret over her divorce."
"Swell Cinema Dame K. Couric's Splendiferous Future Nuptials Dance Into Tomorrow's Golden Dreams, Baby",claude-3-5-sonnet-20241022,66b01913b9af77ea4cd38128,65d0cd7a05bc38801d981ace,"""Love Is in the Air: Katie Couric's Sweet Wedding Dreams Unveiled!""",False,"""Love Is in the Air: Katie Couric's Sweet Wedding Dreams Unveiled!""",Love Is In The Air: Katie Couric's Sweet Wedding Dreams Unfold
"""Twenty Insights Glean'd by the Aged Sire on Child-Rearing and Existence: An Analytical Ode for the Defiant Poet""",gpt-4o,5c3e562ebff5620001e34dd5,65d0cd7a05bc38801d981ace,'Twenty Lessons This Mature Father Has Discovered About the Art of Parenting (And Life's Grand Tapestry): An Exploration Beyond the Obvious',True,Twenty Enchanting Epiphanies: This Sage Patriarch's Astounding Odyssey Through Parenting and the Tapestry of Life,'Twenty Lessons This Mature Father Has Discovered About the Art of Parenting (And Life's Grand Tapestry): An Exploration Beyond the Obvious'
"""Slam Dunk in Stilettos: Fashion's Night Out Brings Out the Real MVPs - Kim Kardashian, Anna Wintour, and Other Athletic Wearers of Fancy Pants""",meta-llama/Llama-3.3-70B-Instruct-Turbo,60b87f3ca1dbf6bb340c9bb0,65d0cd7a05bc38801d981ace,"Lit Night: Kim K, Anna Wintour, and the sporty squad get wild at Fashion's Night Out, where booze and style reign.",True,"OMG, You Won't Believe How Lit Kim K, Anna Wintour, and the Squad Got at Fashion's Night Out 2012!","Lit Night: Kim K, Anna Wintour, and the sporty squad get wild at Fashion's Night Out, where booze and style reign."
"""Verily, Young Lord Trump Doth Protest: Divine Providence Alone Witnessed Russian Counsel""",claude-3-5-sonnet-20241022,5fb91b8d90e3fd6d17b63e08,65d0cd7a05bc38801d981ace,The Young Lord Trump Swears to House of Lords: Russian Counsel Meeting Known Only to Heaven's Eye,True,Noble Son Doth Proclaim: No Word to His Lord of Russian Counsel's Visit,The Young Lord Trump Swears to House of Lords: Russian Counsel Meeting Known Only to Heaven's Eye
"""Tragic Fates: Will Smith, Once a Saint on the Gridiron, Meets a Bitter End""",gpt-4o,6118ad8ee236d50188f3cd1b,65d0cd7a05bc38801d981ace,"Tragic Shooting: Will Smith, a saint on the football field, fatally shot.",False,"Tragic Shooting: Will Smith, a saint on the football field, fatally shot.","Tragic Loss: Former Grid-Iron Saint Will Smith, Angel of the Field Now Cast Asunder"
"Noble Voyagers Pay Tribute to the Beloved Songstress Christina Grimmie, Celebrating Her Eternal Influence Anew.",gpt-4o,56a38b45dbe850000cfd50c3,65d0cd7a05bc38801d981ace,Prominent Public Figures Pay Heartfelt Tributes to 'The Voice' Alumna Christina Grimmie Following Her Tragic and Untimely Passing.,False,Prominent Public Figures Pay Heartfelt Tributes to 'The Voice' Alumna Christina Grimmie Following Her Tragic and Untimely Passing.,Luminaries Honor Beloved Singer Christina Grimmie's Enduring Legacy After Her Untimely Departure
The Mechanized Gestation: 10 Protocols for Celebrity Reproduction in Our Brave New Cinema,claude-3-5-sonnet-20241022,65e09e8b51dcbd6fbd192e34,65d0cd7a05bc38801d981ace,Hollywood's Golden Rules: A Star-Studded Guide to Celebrity Pregnancies,False,Hollywood's Golden Rules: A Star-Studded Guide to Celebrity Pregnancies,The Glamorous Realm of Cinema: 10 Predictions Concerning Celebrity Gestation
The Peculiar Places Where Strange Foods Dance: A Most Curious Guide to Mysterious Feasts,claude-3-5-sonnet-20241022,5f97ac99334d0617de9988eb,65d0cd7a05bc38801d981ace,The Peculiar Places Where Mystifying Meals Meet Worldwide: A Whimsical Wandering Through Feasts,True,Bizarre Global Gatherings: Fascinating Food Festivals Showcase Earth's Strangest Culinary Celebrations Worldwide,The Peculiar Places Where Mystifying Meals Meet Worldwide: A Whimsical Wandering Through Feasts
"""Behold the Adorable Kit Fox Pups: A Glimpse is All it Takes to Ensnare Your Heart""",gpt-4o,57843b986475d400015a8e45,65d0cd7a05bc38801d981ace,'One Glimpse Of These Baby Kit Foxes: Meet The Adorable Swift Fox Kits',True,"""Glimpse These Adorable Baby Kit Foxes: You'll Be Totally Smitten!""",'One Glimpse Of These Baby Kit Foxes: Meet The Adorable Swift Fox Kits'
A Mighty Guild of Olden Lords Scorns the Meager Gathering in Tulsa with Thunderous Proclamation of Doom!,gpt-4o,5dbc61a0df0b4820e71a0e99,65d0cd7a05bc38801d981ace,Never-Trump GOP Group Criticizes Small Tulsa Rally In New Ad,True,Never-Trump GOP Group Criticizes Small Tulsa Rally in New Ad,Never-Trump GOP Group Criticizes Small Tulsa Rally In New Ad
"Ugga, Ugga, Me, Og, Mourn Loss of Dignity: Rock Cup Turned Upside Down, Make Belly Ache Before Sun Go Down, Tribe Leaders Weep for Future of Cave People.",meta-llama/Llama-3.3-70B-Instruct-Turbo,607dce6869b0854eb4da0656,65d0cd7a05bc38801d981ace,"Ugga Ugga Me Tell: Belly Hurt Before Sun Down, Tribe Leaders Angry About Future Times, Now Ugga Drink From Upside Down Rock, Look Drunk Before Drunk!",False,"Ugga Ugga Me Tell: Belly Hurt Before Sun Down, Tribe Leaders Angry About Future Times, Now Ugga Drink From Upside Down Rock, Look Drunk Before Drunk!","""Ug sad, belly hurt before sun down, leaders angry, me Oz drunk"""
Latin Rock Icons Issue Call to Electoral Action During Historic Tour Declaration,claude-3-5-sonnet-20241022,668e809461aae65c8a160e03,65d0cd7a05bc38801d981ace,Latino Stars Call on Hispanic Americans to Exercise Their Right to Vote,True,Latino Stars Push for Hispanic Voter Participation as Maná Launches New Tour,Latino Stars Call on Hispanic Americans to Exercise Their Right to Vote
On the Seventh Day: A Most Solemn Chronicle of Notable Events,claude-3-5-sonnet-20241022,662ea9c785b06375a50bd9cd,65d0cd7a05bc38801d981ace,"""Week in Review: Key Events That Shaped Our World""",False,"""Week in Review: Key Events That Shaped Our World""",Week in Review
"""Cave Chisel Keeper Eludes Queries on Mammoth Spirit's Ties to Rising Shadowy Stone Marks""",gpt-4o,6661e9fd2c5d8a0ede7182c9,65d0cd7a05bc38801d981ace,Cavity Maker Overseer Escapes Questions on Ancient Elephant's Soul Binds to Inclining Dark Rock Imprints,True,Guardian Carver Evades Queries on Ancient Elephant's Spirit Tied to Rising Shadowy Stone Marks,Cavity Maker Overseer Escapes Questions on Ancient Elephant's Soul Binds to Inclining Dark Rock Imprints
The Whispers of the New Moon: A Shady Path to Triumph.,gemini-2.0-flash-exp,602f7da5aece2bc63e9623c9,65d0cd7a05bc38801d981ace,"The Whispering Over Time, New Moon: Aiming, Strong, Path To Triumph.",True,**The Winning option that Never Misses: A Sure Path to Triumph**,"The Whispering Over Time, New Moon: Aiming, Strong, Path To Triumph."
"Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.",gemini-2.0-flash-exp,5f0c98239c6dab0fadfee6de,65d0cd7a05bc38801d981ace,Paschal Mystery: A Passage of Beliefs in 2014,False,Paschal Mystery: A Passage of Beliefs in 2014,Passage of Believes Mysteries Soon
The Epic Seven: A Culinary Crusade for National Nutrition Month,gemini-2.0-flash-exp,615a028ae7c469f84dcd7fcd,65d0cd7a05bc38801d981ace,Healthy Picks: 7 Fruits and Veggies for National Nutrition Month,False,Healthy Picks: 7 Fruits and Veggies for National Nutrition Month,Savor These 7 Produce Picks for National Nutrition Month
"Stone Woman's Face-Shift, Sun-Cycle Twice, Whispers of Power (Markings, Spirit Count)",gemini-2.0-flash-exp,66630fb8dd455aaa0712f7c8,65d0cd7a05bc38801d981ace,Julianne Moore's 'Game Change' Transformation: Two-Hour Daily Makeup,False,Julianne Moore's 'Game Change' Transformation: Two-Hour Daily Makeup,"Julianne Moore's ""Game Change"" Transformation: 2-Hour Daily Ritual"
An Evening's Reflection: Distinguished Personages Part Ways in the Modern Telegraph Salon,claude-3-5-sonnet-20241022,5c3e562ebff5620001e34dd5,65d0cd7a05bc38801d981ace,Twilight Hour Reflection: Notable Figures Part Ways at Modern Social Hub,True,Twilight Musings: Society's Elite Part Ways at Modern Lounge,Twilight Hour Reflection: Notable Figures Part Ways at Modern Social Hub
The Unfurling Spectacle: A Generation's Ascent into the Bleak Theatre of Global Destiny.,gemini-2.0-flash-exp,5e8d0214e94a440cd432e18d,65d0cd7a05bc38801d981ace,The Global Empowerment of the Next Generation Through Theater,True,Unfolding: The Global Empowerment of the Next Generation,The Global Empowerment of the Next Generation Through Theater
Dark Victory: Athletes Reveal Their Personal Quests for Ultimate Glory and Triumph,claude-3-5-sonnet-20241022,5f0021867c6da111da7c9b31,65d0cd7a05bc38801d981ace,Victory's Price: Athletes Reveal The Dark Path To Success And Glory,True,Dark Side of Victory: Athletes Sacrifice Joy for Success in Sport and Life,Victory's Price: Athletes Reveal The Dark Path To Success And Glory
"""Hear Ye, Ye Code Knights: How Venturing Forth into Fresh Air Doth Boost Thy Startup Prowess""",meta-llama/Llama-3.3-70B-Instruct-Turbo,6481f718c073eacd7875d582,65d0cd7a05bc38801d981ace,Exercising in Nature: The Surprising Benefits of Outdoor Fitness,False,Exercising in Nature: The Surprising Benefits of Outdoor Fitness,Exercising in Nature: The Surprising Benefits You Can Expect
